Freq.	V(n001)
1.00000000000000e+00	9.99986271388742e-01,-6.28417949806416e-03
1.02329299228075e+00	9.99984410609478e-01,-6.43054487864173e-03
1.04712854805090e+00	9.99982462141810e-01,-6.58031869129367e-03
1.07151930523761e+00	9.99980421853827e-01,-6.73358026741590e-03
1.09647819614318e+00	9.99978285418956e-01,-6.89041078189422e-03
1.12201845430196e+00	9.99976048306794e-01,-7.05089329573268e-03
1.14815362149688e+00	9.99973705773511e-01,-7.21511279965090e-03
1.17489755493953e+00	9.99971252851796e-01,-7.38315625867456e-03
1.20226443461741e+00	9.99968684340338e-01,-7.55511265773793e-03
1.23026877081238e+00	9.99965994792805e-01,-7.73107304832037e-03
1.25892541179417e+00	9.99963178506304e-01,-7.91113059614213e-03
1.28824955169313e+00	9.99960229509311e-01,-8.09538062993612e-03
1.31825673855641e+00	9.99957141549009e-01,-8.28392069132561e-03
1.34896288259165e+00	9.99953908078061e-01,-8.47685058582394e-03
1.38038426460288e+00	9.99950522240730e-01,-8.67427243498621e-03
1.41253754462275e+00	9.99946976858373e-01,-8.87629072973226e-03
1.44543977074593e+00	9.99943264414235e-01,-9.08301238486770e-03
1.47910838816821e+00	9.99939377037534e-01,-9.29454679482758e-03
1.51356124843621e+00	9.99935306486804e-01,-9.51100589066689e-03
1.54881661891248e+00	9.99931044132441e-01,-9.73250419832325e-03
1.58489319246111e+00	9.99926580938447e-01,-9.95915889817859e-03
1.62181009735893e+00	9.99921907443297e-01,-1.01910898859456e-02
1.65958690743756e+00	9.99917013739920e-01,-1.04284198349038e-02
1.69824365246174e+00	9.99911889454739e-01,-1.06712742595140e-02
1.73780082874937e+00	9.99906523725721e-01,-1.09197815804363e-02
1.77827941003892e+00	9.99900905179395e-01,-1.11740731909811e-02
1.81970085860998e+00	9.99895021906803e-01,-1.14342835250166e-02
1.86208713666287e+00	9.99888861438307e-01,-1.17005501263654e-02
1.90546071796325e+00	9.99882410717222e-01,-1.19730137197141e-02
1.94984459975804e+00	9.99875656072212e-01,-1.22518182830661e-02
1.99526231496888e+00	9.99868583188386e-01,-1.25371111217634e-02
2.04173794466953e+00	9.99861177077045e-01,-1.28290429441094e-02
2.08929613085404e+00	9.99853422044001e-01,-1.31277679386172e-02
2.13796208950223e+00	9.99845301656423e-01,-1.34334438529135e-02
2.18776162394955e+00	9.99836798708115e-01,-1.37462320743273e-02
2.23872113856834e+00	9.99827895183178e-01,-1.40662977121888e-02
2.29086765276777e+00	9.99818572217965e-01,-1.43938096818697e-02
2.34422881531992e+00	9.99808810061253e-01,-1.47289407905898e-02
2.39883291901949e+00	9.99798588032555e-01,-1.50718678250213e-02
2.45470891568503e+00	9.99787884478474e-01,-1.54227716407153e-02
2.51188643150958e+00	9.99776676727018e-01,-1.57818372533757e-02
2.57039578276886e+00	9.99764941039784e-01,-1.61492539320142e-02
2.63026799189538e+00	9.99752652561893e-01,-1.65252152940023e-02
2.69153480392691e+00	9.99739785269597e-01,-1.69099194020563e-02
2.75422870333816e+00	9.99726311915431e-01,-1.73035688631684e-02
2.81838293126445e+00	9.99712203970807e-01,-1.77063709295190e-02
