Freq.	V(n002)
1.00000000000000e+00	9.99960523140879e-01,-6.28293726675839e-03
1.02329299228075e+00	9.99958662730735e-01,-6.42927371443295e-03
1.04712854805090e+00	9.99956714649581e-01,-6.57901792041848e-03
1.07151930523761e+00	9.99954674766327e-01,-6.73224920042884e-03
1.09647819614318e+00	9.99952538755256e-01,-6.88904871330380e-03
1.12201845430196e+00	9.99950302086866e-01,-7.04949950362817e-03
1.14815362149688e+00	9.99947960018266e-01,-7.21368654532136e-03
1.17489755493953e+00	9.99945507583133e-01,-7.38169678621823e-03
1.20226443461741e+00	9.99942939581186e-01,-7.55361919366278e-03
1.23026877081238e+00	9.99940250567173e-01,-7.72954480113628e-03
1.25892541179417e+00	9.99937434839334e-01,-7.90956675594210e-03
1.28824955169313e+00	9.99934486427327e-01,-8.09378036796964e-03
1.31825673855641e+00	9.99931399079579e-01,-8.28228315956035e-03
1.34896288259165e+00	9.99928166250047e-01,-8.47517491649895e-03
1.38038426460288e+00	9.99924781084358e-01,-8.67255774015366e-03
1.41253754462275e+00	9.99921236405292e-01,-8.87453610078922e-03
1.44543977074593e+00	9.99917524697583e-01,-9.08121689207723e-03
1.47910838816821e+00	9.99913638092014e-01,-9.29270948682838e-03
1.51356124843621e+00	9.99909568348751e-01,-9.50912579397173e-03
1.54881661891248e+00	9.99905306839904e-01,-9.73058031680632e-03
1.58489319246111e+00	9.99900844531264e-01,-9.95719021255091e-03
1.62181009735893e+00	9.99896171963185e-01,-1.01890753532179e-02
1.65958690743756e+00	9.99891279230563e-01,-1.04263583878378e-02
1.69824365246174e+00	9.99886155961876e-01,-1.06691648060606e-02
1.73780082874937e+00	9.99880791297246e-01,-1.09176230031615e-02
1.77827941003892e+00	9.99875173865460e-01,-1.11718643464777e-02
1.81970085860998e+00	9.99869291759921e-01,-1.14320232433041e-02
1.86208713666287e+00	9.99863132513463e-01,-1.16982372102747e-02
1.90546071796325e+00	9.99856683071994e-01,-1.19706469442590e-02
1.94984459975804e+00	9.99849929766888e-01,-1.22493963947998e-02
1.99526231496888e+00	9.99842858286095e-01,-1.25346328381214e-02
2.04173794466953e+00	9.99835453643888e-01,-1.28265069527366e-02
2.08929613085404e+00	9.99827700149194e-01,-1.31251728966801e-02
2.13796208950223e+00	9.99819581372439e-01,-1.34307883863968e-02
2.18776162394955e+00	9.99811080110841e-01,-1.37435147773141e-02
2.23872113856834e+00	9.99802178352076e-01,-1.40635171461253e-02
2.29086765276777e+00	9.99792857236238e-01,-1.43909643748124e-02
2.34422881531992e+00	9.99783097016023e-01,-1.47260292364372e-02
2.39883291901949e+00	9.99772877015045e-01,-1.50688884827269e-02
2.45470891568503e+00	9.99762175584202e-01,-1.54197229334825e-02
2.51188643150958e+00	9.99750970056001e-01,-1.57787175678371e-02
2.57039578276886e+00	9.99739236696747e-01,-1.61460616173896e-02
2.63026799189538e+00	9.99726950656491e-01,-1.65219486612404e-02
2.69153480392691e+00	9.99714085916648e-01,-1.69065767229548e-02
2.75422870333816e+00	9.99700615235157e-01,-1.73001483694772e-02
2.81838293126445e+00	9.99686510089089e-01,-1.77028708120212e-02
2.88403150312660e+00	9.99671740614569e-01,-1.81149560089575e-02
2.95120922666638e+00	9.99656275543901e-01,-1.85366207707208e-02
3.01995172040201e+00	9.99640082139749e-01,-1.89680868667564e-02
3.09029543251359e+00	9.99623126126266e-01,-1.94095811345256e-02
3.16227766016837e+00	9.99605371616997e-01,-1.98613355905859e-02
3.23593656929628e+00	9.99586781039442e-01,-2.03235875437625e-02
3.31131121482591e+00	9.99567315056087e-01,-2.07965797104243e-02
3.38844156139202e+00	9.99546932481785e-01,-2.12805603318748e-02
3.46736850452531e+00	9.99525590197277e-01,-2.17757832938687e-02
3.54813389233575e+00	9.99503243058708e-01,-2.22825082482574e-02
3.63078054770101e+00	9.99479843802933e-01,-2.28010007367702e-02
3.71535229097172e+00	9.99455342948440e-01,-2.33315323169281e-02
3.80189396320560e+00	9.99429688691676e-01,-2.38743806900889e-02
3.89045144994280e+00	9.99402826798566e-01,-2.44298298316152e-02
3.98107170553496e+00	9.99374700491018e-01,-2.49981701231551e-02
4.07380277804112e+00	9.99345250328181e-01,-2.55796984870177e-02
4.16869383470335e+00	9.99314414082211e-01,-2.61747185226246e-02
4.26579518801592e+00	9.99282126608311e-01,-2.67835406450101e-02
4.36515832240165e+00	9.99248319708772e-01,-2.74064822253374e-02
4.46683592150962e+00	9.99212921990759e-01,-2.80438677333937e-02
4.57088189614874e+00	9.99175858717549e-01,-2.86960288820177e-02
4.67735141287197e+00	9.99137051652934e-01,-2.93633047734071e-02
4.78630092322637e+00	9.99096418898488e-01,-3.00460420472452e-02
4.89778819368445e+00	9.99053874723367e-01,-3.07445950305767e-02
5.01187233627271e+00	9.99009329386323e-01,-3.14593258893549e-02
5.12861383991364e+00	9.98962688949582e-01,-3.21906047815681e-02
5.24807460249771e+00	9.98913855084225e-01,-3.29388100118492e-02
5.37031796370252e+00	9.98862724866704e-01,-3.37043281874521e-02
5.49540873857623e+00	9.98809190566091e-01,-3.44875543754736e-02
5.62341325190348e+00	9.98753139421677e-01,-3.52888922611796e-02
5.75439937337156e+00	9.98694453410479e-01,-3.61087543072833e-02
5.88843655355588e+00	9.98633009004228e-01,-3.69475619140065e-02
6.02559586074356e+00	9.98568676915388e-01,-3.78057455797359e-02
6.16595001861481e+00	9.98501321831721e-01,-3.86837450620704e-02
6.30957344480192e+00	9.98430802138924e-01,-3.95820095390354e-02
6.45654229034654e+00	9.98356969630823e-01,-4.05009977702155e-02
6.60693448007594e+00	9.98279669206588e-01,-4.14411782575397e-02
6.76082975391980e+00	9.98198738554448e-01,-4.24030294054234e-02
6.91830970918935e+00	9.98114007821313e-01,-4.33870396799489e-02
7.07945784384136e+00	9.98025299267740e-01,-4.43937077667361e-02
7.24435960074988e+00	9.97932426907625e-01,-4.54235427271252e-02
7.41310241300916e+00	9.97835196132000e-01,-4.64770641522618e-02
7.58577575029182e+00	9.97733403316289e-01,-4.75548023146398e-02
7.76247116628690e+00	9.97626835410358e-01,-4.86572983166195e-02
7.94328234724279e+00	9.97515269510666e-01,-4.97851042354003e-02
8.12830516164097e+00	9.97398472413813e-01,-5.09387832638851e-02
8.31763771102669e+00	9.97276200150760e-01,-5.21189098468269e-02
8.51138038202374e+00	9.97148197500955e-01,-5.33260698116020e-02
8.70963589956078e+00	9.97014197485619e-01,-5.45608604929012e-02
8.91250938133743e+00	9.96873920839384e-01,-5.58238908505762e-02
9.12010839355907e+00	9.96727075459478e-01,-5.71157815798212e-02
9.33254300796988e+00	9.96573355831635e-01,-5.84371652128046e-02
9.54992586021433e+00	9.96412442431882e-01,-5.97886862108031e-02
9.77237220955808e+00	9.96244001103341e-01,-6.11710010458167e-02
9.99999999999997e+00	9.96067682407173e-01,-6.25847782705715e-02
1.02329299228075e+01	9.95883120946765e-01,-6.40306985757329e-02
1.04712854805090e+01	9.95689934664275e-01,-6.55094548330738e-02
1.07151930523760e+01	9.95487724108610e-01,-6.70217521232452e-02
1.09647819614318e+01	9.95276071673923e-01,-6.85683077467084e-02
1.12201845430196e+01	9.95054540807711e-01,-7.01498512162811e-02
1.14815362149688e+01	9.94822675187593e-01,-7.17671242296472e-02
1.17489755493953e+01	9.94579997865840e-01,-7.34208806200653e-02
1.20226443461741e+01	9.94326010380752e-01,-7.51118862833908e-02
1.23026877081238e+01	9.94060191833984e-01,-7.68409190794017e-02
1.25892541179416e+01	9.93781997932933e-01,-7.86087687052840e-02
1.28824955169313e+01	9.93490859997330e-01,-8.04162365389930e-02
1.31825673855640e+01	9.93186183929208e-01,-8.22641354500581e-02
1.34896288259165e+01	9.92867349145452e-01,-8.41532895752442e-02
1.38038426460288e+01	9.92533707472196e-01,-8.60845340563189e-02
1.41253754462275e+01	9.92184582000358e-01,-8.80587147370041e-02
1.44543977074592e+01	9.91819265901710e-01,-9.00766878160105e-02
1.47910838816820e+01	9.91437021204918e-01,-9.21393194528662e-02
1.51356124843620e+01	9.91037077531097e-01,-9.42474853230567e-02
1.54881661891248e+01	9.90618630788531e-01,-9.64020701187841e-02
1.58489319246111e+01	9.90180841826309e-01,-9.86039669914494e-02
1.62181009735892e+01	9.89722835046772e-01,-1.00854076931733e-01
1.65958690743755e+01	9.89243696976823e-01,-1.03153308082924e-01
1.69824365246174e+01	9.88742474798306e-01,-1.05502574982922e-01
1.73780082874937e+01	9.88218174837874e-01,-1.07902797730063e-01
1.77827941003892e+01	9.87669761016954e-01,-1.10354901067722e-01
1.81970085860998e+01	9.87096153262685e-01,-1.12859813382333e-01
1.86208713666286e+01	9.86496225880948e-01,-1.15418465609248e-01
1.90546071796324e+01	9.85868805892925e-01,-1.18031790040579e-01
1.94984459975804e+01	9.85212671336917e-01,-1.20700719028896e-01
1.99526231496887e+01	9.84526549537567e-01,-1.23426183580388e-01
2.04173794466952e+01	9.83809115344958e-01,-1.26209111830837e-01
2.08929613085403e+01	9.83058989346568e-01,-1.29050427397479e-01
2.13796208950222e+01	9.82274736055475e-01,-1.31951047599561e-01
2.18776162394954e+01	9.81454862078774e-01,-1.34911881540170e-01
2.23872113856833e+01	9.80597814270700e-01,-1.37933828041657e-01
2.29086765276776e+01	9.79701977875603e-01,-1.41017773426737e-01
