Freq.	V(n002)
1.00000000000000e+00	4.99995065246504e-01,-1.57078082380956e-03
1.02329299228075e+00	4.99994832681140e-01,-1.60736826176922e-03
1.04712854805090e+00	4.99994589155540e-01,-1.64480787716862e-03
1.07151930523761e+00	4.99994334153186e-01,-1.68311951594623e-03
1.09647819614318e+00	4.99994067133221e-01,-1.72232348603832e-03
1.12201845430196e+00	4.99993787529298e-01,-1.76244056812074e-03
1.14815362149688e+00	4.99993494748383e-01,-1.80349202659943e-03
1.17489755493953e+00	4.99993188169497e-01,-1.84549962085556e-03
1.20226443461741e+00	4.99992867142395e-01,-1.88848561675086e-03
1.23026877081238e+00	4.99992530986195e-01,-1.93247279839931e-03
1.25892541179417e+00	4.99992178987925e-01,-1.97748448021119e-03
1.28824955169313e+00	4.99991810401018e-01,-2.02354451921560e-03
1.31825673855641e+00	4.99991424443729e-01,-2.07067732766802e-03
1.34896288259165e+00	4.99991020297472e-01,-2.11890788594918e-03
1.38038426460288e+00	4.99990597105088e-01,-2.16826175576199e-03
1.41253754462275e+00	4.99990153969030e-01,-2.21876509363325e-03
1.44543977074593e+00	4.99989689949455e-01,-2.27044466472706e-03
1.47910838816821e+00	4.99989204062233e-01,-2.32332785697705e-03
1.51356124843621e+00	4.99988695276865e-01,-2.37744269554446e-03
1.54881661891248e+00	4.99988162514291e-01,-2.43281785760974e-03
1.58489319246111e+00	4.99987604644608e-01,-2.48948268750482e-03
1.62181009735893e+00	4.99987020484670e-01,-2.54746721219410e-03
1.65958690743756e+00	4.99986408795586e-01,-2.60680215711168e-03
1.69824365246174e+00	4.99985768280087e-01,-2.66751896236299e-03
1.73780082874937e+00	4.99985097579782e-01,-2.72964979929903e-03
1.77827941003892e+00	4.99984395272274e-01,-2.79322758747140e-03
1.81970085860998e+00	4.99983659868148e-01,-2.85828601197672e-03
1.86208713666287e+00	4.99982889807811e-01,-2.92485954119908e-03
1.90546071796325e+00	4.99982083458191e-01,-2.99298344495943e-03
1.94984459975804e+00	4.99981239109273e-01,-3.06269381308080e-03
1.99526231496888e+00	4.99980354970472e-01,-3.13402757437870e-03
2.04173794466953e+00	4.99979429166844e-01,-3.20702251608590e-03
2.08929613085404e+00	4.99978459735111e-01,-3.28171730372138e-03
2.13796208950223e+00	4.99977444619497e-01,-3.35815150141296e-03
2.18776162394955e+00	4.99976381667376e-01,-3.43636559268368e-03
2.23872113856834e+00	4.99975268624708e-01,-3.51640100171201e-03
2.29086765276777e+00	4.99974103131268e-01,-3.59830011507611e-03
2.34422881531992e+00	4.99972882715638e-01,-3.68210630399280e-03
2.39883291901949e+00	4.99971604789977e-01,-3.76786394706164e-03
2.45470891568503e+00	4.99970266644537e-01,-3.85561845352531e-03
2.51188643150958e+00	4.99968865441922e-01,-3.94541628705704e-03
2.57039578276886e+00	4.99967398211081e-01,-4.03730499008649e-03
2.63026799189538e+00	4.99965861841010e-01,-4.13133320867545e-03
2.69153480392691e+00	4.99964253074169e-01,-4.22755071795497e-03
2.75422870333816e+00	4.99962568499579e-01,-4.32600844813576e-03
2.81838293126445e+00	4.99960804545601e-01,-4.42675851110376e-03
2.88403150312660e+00	4.99958957472375e-01,-4.52985422761302e-03
2.95120922666638e+00	4.99957023363897e-01,-4.63535015508836e-03
3.01995172040201e+00	4.99954998119733e-01,-4.74330211605020e-03
3.09029543251359e+00	4.99952877446339e-01,-4.85376722717424e-03
3.16227766016837e+00	4.99950656847968e-01,-4.96680392899887e-03
3.23593656929628e+00	4.99948331617164e-01,-5.08247201629337e-03
3.31131121482591e+00	4.99945896824789e-01,-5.20083266909986e-03
3.38844156139202e+00	4.99943347309603e-01,-5.32194848446265e-03
3.46736850452531e+00	4.99940677667338e-01,-5.44588350885798e-03
3.54813389233575e+00	4.99937882239267e-01,-5.57270327133820e-03
3.63078054770101e+00	4.99934955100236e-01,-5.70247481740372e-03
3.71535229097172e+00	4.99931890046130e-01,-5.83526674361676e-03
3.80189396320560e+00	4.99928680580756e-01,-5.97114923297066e-03
3.89045144994280e+00	4.99925319902106e-01,-6.11019409102885e-03
3.98107170553496e+00	4.99921800887977e-01,-6.25247478284751e-03
4.07380277804112e+00	4.99918116080921e-01,-6.39806647069589e-03
4.16869383470335e+00	4.99914257672477e-01,-6.54704605258873e-03
4.26579518801592e+00	4.99910217486681e-01,-6.69949220164456e-03
4.36515832240165e+00	4.99905986962786e-01,-6.85548540628437e-03
4.46683592150962e+00	4.99901557137186e-01,-7.01510801128452e-03
4.57088189614874e+00	4.99896918624481e-01,-7.17844425969807e-03
4.67735141287197e+00	4.99892061597667e-01,-7.34558033565845e-03
4.78630092322637e+00	4.99886975767391e-01,-7.51660440807930e-03
4.89778819368445e+00	4.99881650360232e-01,-7.69160667526423e-03
5.01187233627271e+00	4.99876074095977e-01,-7.87067941043991e-03
5.12861383991364e+00	4.99870235163824e-01,-8.05391700822587e-03
5.24807460249771e+00	4.99864121197475e-01,-8.24141603205379e-03
5.37031796370252e+00	4.99857719249068e-01,-8.43327526254928e-03
5.49540873857623e+00	4.99851015761884e-01,-8.62959574688807e-03
5.62341325190348e+00	4.99843996541788e-01,-8.83048084913871e-03
5.75439937337156e+00	4.99836646727329e-01,-9.03603630160309e-03
5.88843655355588e+00	4.99828950758449e-01,-9.24637025716547e-03
6.02559586074356e+00	4.99820892343731e-01,-9.46159334266039e-03
6.16595001861481e+00	4.99812454426122e-01,-9.68181871326872e-03
6.30957344480192e+00	4.99803619147055e-01,-9.90716210795069e-03
6.45654229034654e+00	4.99794367808902e-01,-1.01377419059236e-02
6.60693448007594e+00	4.99784680835682e-01,-1.03736791841911e-02
6.76082975391980e+00	4.99774537731938e-01,-1.06150977761295e-02
6.91830970918935e+00	4.99763917039702e-01,-1.08621243311366e-02
7.07945784384136e+00	4.99752796293462e-01,-1.11148883753444e-02
7.24435960074988e+00	4.99741151973041e-01,-1.13735223733999e-02
7.41310241300916e+00	4.99728959454284e-01,-1.16381617913121e-02
7.58577575029182e+00	4.99716192957460e-01,-1.19089451603652e-02
7.76247116628690e+00	4.99702825493282e-01,-1.21860141420930e-02
7.94328234724279e+00	4.99688828806419e-01,-1.24695135943113e-02
8.12830516164097e+00	4.99674173316397e-01,-1.27595916381977e-02
8.31763771102669e+00	4.99658828055777e-01,-1.30563997264115e-02
8.51138038202374e+00	4.99642760605471e-01,-1.33600927122387e-02
8.70963589956078e+00	4.99625937027079e-01,-1.36708289197470e-02
8.91250938133743e+00	4.99608321792111e-01,-1.39887702149327e-02
9.12010839355907e+00	4.99589877707949e-01,-1.43140820778360e-02
9.33254300796988e+00	4.99570565840410e-01,-1.46469336755991e-02
9.54992586021433e+00	4.99550345432751e-01,-1.49874979364375e-02
9.77237220955808e+00	4.99529173820961e-01,-1.53359516244898e-02
9.99999999999997e+00	4.99507006345180e-01,-1.56924754155064e-02
1.02329299228075e+01	4.99483796257063e-01,-1.60572539733347e-02
1.04712854805090e+01	4.99459494622917e-01,-1.64304760271490e-02
1.07151930523760e+01	4.99434050222423e-01,-1.68123344493717e-02
1.09647819614318e+01	4.99407409442751e-01,-1.72030263342230e-02
1.12201845430196e+01	4.99379516167860e-01,-1.76027530768303e-02
1.14815362149688e+01	4.99350311662788e-01,-1.80117204528227e-02
1.17489755493953e+01	4.99319734452691e-01,-1.84301386983247e-02
1.20226443461741e+01	4.99287720196435e-01,-1.88582225902587e-02
1.23026877081238e+01	4.99254201554475e-01,-1.92961915268536e-02
1.25892541179416e+01	4.99219108050801e-01,-1.97442696082486e-02
1.28824955169313e+01	4.99182365928685e-01,-2.02026857170700e-02
1.31825673855640e+01	4.99143897999976e-01,-2.06716735988480e-02
1.34896288259165e+01	4.99103623487659e-01,-2.11514719421283e-02
1.38038426460288e+01	4.99061457861407e-01,-2.16423244581192e-02
1.41253754462275e+01	4.99017312665835e-01,-2.21444799597034e-02
1.44543977074592e+01	4.98971095341144e-01,-2.26581924396250e-02
1.47910838816820e+01	4.98922709035853e-01,-2.31837211476504e-02
1.51356124843620e+01	4.98872052411297e-01,-2.37213306664813e-02
1.54881661891248e+01	4.98819019437550e-01,-2.42712909861813e-02
1.58489319246111e+01	4.98763499180442e-01,-2.48338775768573e-02
1.62181009735892e+01	4.98705375579304e-01,-2.54093714593171e-02
1.65958690743755e+01	4.98644527215092e-01,-2.59980592734005e-02
1.69824365246174e+01	4.98580827068507e-01,-2.66002333436583e-02
1.73780082874937e+01	4.98514142267721e-01,-2.72161917420283e-02
1.77827941003892e+01	4.98444333825336e-01,-2.78462383471298e-02
1.81970085860998e+01	4.98371256364147e-01,-2.84906828997683e-02
1.86208713666286e+01	4.98294757831321e-01,-2.91498410542138e-02
1.90546071796324e+01	4.98214679200545e-01,-2.98240344247793e-02
1.94984459975804e+01	4.98130854161743e-01,-3.05135906271953e-02
1.99526231496887e+01	4.98043108797889e-01,-3.12188433142348e-02
2.04173794466952e+01	4.97951261248510e-01,-3.19401322050079e-02
2.08929613085403e+01	4.97855121359395e-01,-3.26778031072985e-02
2.13796208950222e+01	4.97754490318083e-01,-3.34322079322761e-02
2.18776162394954e+01	4.97649160274644e-01,-3.42037047008634e-02
2.23872113856833e+01	4.97538913947320e-01,-3.49926575409933e-02
2.29086765276776e+01	4.97423524212548e-01,-3.57994366749360e-02
2.34422881531991e+01	4.97302753678903e-01,-3.66244183958176e-02
2.39883291901948e+01	4.97176354244519e-01,-3.74679850323975e-02
2.45470891568502e+01	4.97044066637525e-01,-3.83305249011020e-02
2.51188643150957e+01	4.96905619939057e-01,-3.92124322442527e-02
2.57039578276885e+01	4.96760731088415e-01,-4.01141071533536e-02
2.63026799189537e+01	4.96609104369958e-01,-4.10359554762282e-02
2.69153480392690e+01	4.96450430881318e-01,-4.19783887067225e-02
2.75422870333815e+01	4.96284387982580e-01,-4.29418238556059e-02
2.81838293126444e+01	4.96110638726070e-01,-4.39266833012194e-02
2.88403150312659e+01	4.95928831266433e-01,-4.49333946183283e-02
2.95120922666637e+01	4.95738598250723e-01,-4.59623903835473e-02
3.01995172040200e+01	4.95539556188283e-01,-4.70141079556032e-02
3.09029543251358e+01	4.95331304800205e-01,-4.80889892286045e-02
3.16227766016837e+01	4.95113426348275e-01,-4.91874803563765e-02
3.23593656929627e+01	4.94885484943312e-01,-5.03100314458135e-02
3.31131121482590e+01	4.94647025832945e-01,-5.14570962170861e-02
3.38844156139201e+01	4.94397574668895e-01,-5.26291316284226e-02
3.46736850452530e+01	4.94136636753989e-01,-5.38265974630634e-02
3.54813389233574e+01	4.93863696269177e-01,-5.50499558758632e-02
3.63078054770100e+01	4.93578215480987e-01,-5.62996708968883e-02
3.71535229097171e+01	4.93279633929963e-01,-5.75762078892258e-02
3.80189396320559e+01	4.92967367600783e-01,-5.88800329580907e-02
3.89045144994279e+01	4.92640808074918e-01,-6.02116123081837e-02
3.98107170553495e+01	4.92299321666856e-01,-6.15714115461167e-02
4.07380277804111e+01	4.91942248545153e-01,-6.29598949245920e-02
4.16869383470333e+01	4.91568901839718e-01,-6.43775245248878e-02
4.26579518801591e+01	4.91178566737067e-01,-6.58247593740690e-02
4.36515832240164e+01	4.90770499565440e-01,-6.73020544932223e-02
4.46683592150961e+01	4.90343926872042e-01,-6.88098598728869e-02
4.57088189614873e+01	4.89898044494927e-01,-7.03486193717397e-02
4.67735141287196e+01	4.89432016632373e-01,-7.19187695344907e-02
4.78630092322636e+01	4.88944974912991e-01,-7.35207383248441e-02
4.89778819368444e+01	4.88436017470165e-01,-7.51549437693035e-02
5.01187233627270e+01	4.87904208024847e-01,-7.68217925075332e-02
5.12861383991362e+01	4.87348574981183e-01,-7.85216782449390e-02
5.24807460249770e+01	4.86768110539931e-01,-8.02549801031123e-02
5.37031796370250e+01	4.86161769835125e-01,-8.20220608637798e-02
5.49540873857622e+01	4.85528470100008e-01,-8.38232651019369e-02
5.62341325190346e+01	4.84867089868832e-01,-8.56589172039076e-02
