Freq.	V(n002)
1.00000000000000e+00	2.48119697712633e-01,-3.86815092405753e-04
1.02329299228075e+00	2.48119669292341e-01,-3.95825128028369e-04
1.04712854805090e+00	2.48119639532649e-01,-4.05045031098598e-04
1.07151930523761e+00	2.48119608370434e-01,-4.14479689825372e-04
1.09647819614318e+00	2.48119575739597e-01,-4.24134106262047e-04
1.12201845430196e+00	2.48119541570925e-01,-4.34013398957002e-04
1.14815362149688e+00	2.48119505791943e-01,-4.44122805665877e-04
1.17489755493953e+00	2.48119468326762e-01,-4.54467686126909e-04
1.20226443461741e+00	2.48119429095912e-01,-4.65053524900816e-04
1.23026877081238e+00	2.48119388016183e-01,-4.75885934276716e-04
1.25892541179417e+00	2.48119345000441e-01,-4.86970657245630e-04
1.28824955169313e+00	2.48119299957445e-01,-4.98313570543129e-04
1.31825673855641e+00	2.48119252791655e-01,-5.09920687762717e-04
1.34896288259165e+00	2.48119203403030e-01,-5.21798162541599e-04
1.38038426460288e+00	2.48119151686812e-01,-5.33952291820515e-04
1.41253754462275e+00	2.48119097533306e-01,-5.46389519179338e-04
1.44543977074593e+00	2.48119040827649e-01,-5.59116438250200e-04
1.47910838816821e+00	2.48118981449566e-01,-5.72139796209946e-04
1.51356124843621e+00	2.48118919273109e-01,-5.85466497353733e-04
1.54881661891248e+00	2.48118854166400e-01,-5.99103606751671e-04
1.58489319246111e+00	2.48118785991343e-01,-6.13058353990404e-04
1.62181009735893e+00	2.48118714603335e-01,-6.27338137001616e-04
1.65958690743756e+00	2.48118639850957e-01,-6.41950525979449e-04
1.69824365246174e+00	2.48118561575657e-01,-6.56903267388899e-04
1.73780082874937e+00	2.48118479611408e-01,-6.72204288067286e-04
1.77827941003892e+00	2.48118393784362e-01,-6.87861699420942e-04
1.81970085860998e+00	2.48118303912475e-01,-7.03883801719316e-04
1.86208713666287e+00	2.48118209805126e-01,-7.20279088488741e-04
1.90546071796325e+00	2.48118111262711e-01,-7.37056251008154e-04
1.94984459975804e+00	2.48118008076219e-01,-7.54224182909124e-04
1.99526231496888e+00	2.48117900026790e-01,-7.71791984882577e-04
2.04173794466953e+00	2.48117786885248e-01,-7.89768969494683e-04
2.08929613085404e+00	2.48117668411621e-01,-8.08164666114410e-04
2.13796208950223e+00	2.48117544354624e-01,-8.26988825955298e-04
2.18776162394955e+00	2.48117414451135e-01,-8.46251427234094e-04
2.23872113856834e+00	2.48117278425629e-01,-8.65962680448919e-04
2.29086765276777e+00	2.48117135989598e-01,-8.86133033779692e-04
2.34422881531992e+00	2.48116986840938e-01,-9.06773178613646e-04
2.39883291901949e+00	2.48116830663311e-01,-9.27894055198751e-04
2.45470891568503e+00	2.48116667125471e-01,-9.49506858428018e-04
2.51188643150958e+00	2.48116495880560e-01,-9.71623043757631e-04
2.57039578276886e+00	2.48116316565378e-01,-9.94254333261985e-04
2.63026799189538e+00	2.48116128799611e-01,-1.01741272182875e-03
2.69153480392691e+00	2.48115932185019e-01,-1.04111048349711e-03
2.75422870333816e+00	2.48115726304602e-01,-1.06536017794256e-03
2.81838293126445e+00	2.48115510721706e-01,-1.09017465711137e-03
2.88403150312660e+00	2.48115284979102e-01,-1.11556707200831e-03
2.95120922666638e+00	2.48115048598017e-01,-1.14155087964110e-03
3.01995172040201e+00	2.48114801077118e-01,-1.16813985012495e-03
3.09029543251359e+00	2.48114541891448e-01,-1.19534807395100e-03
3.16227766016837e+00	2.48114270491313e-01,-1.22318996942234e-03
3.23593656929628e+00	2.48113986301121e-01,-1.25168029026120e-03
3.31131121482591e+00	2.48113688718155e-01,-1.28083413339148e-03
3.38844156139202e+00	2.48113377111302e-01,-1.31066694690020e-03
3.46736850452531e+00	2.48113050819708e-01,-1.34119453818221e-03
3.54813389233575e+00	2.48112709151386e-01,-1.37243308227201e-03
3.63078054770101e+00	2.48112351381740e-01,-1.40439913036703e-03
3.71535229097172e+00	2.48111976752036e-01,-1.43710961854650e-03
3.80189396320560e+00	2.48111584467791e-01,-1.47058187669041e-03
3.89045144994280e+00	2.48111173697088e-01,-1.50483363760289e-03
3.98107170553496e+00	2.48110743568816e-01,-1.53988304634450e-03
4.07380277804112e+00	2.48110293170821e-01,-1.57574866977825e-03
4.16869383470335e+00	2.48109821547976e-01,-1.61244950633377e-03
4.26579518801592e+00	2.48109327700153e-01,-1.65000499599469e-03
4.36515832240165e+00	2.48108810580105e-01,-1.68843503051393e-03
4.46683592150962e+00	2.48108269091252e-01,-1.72775996386196e-03
4.57088189614874e+00	2.48107702085348e-01,-1.76800062291309e-03
4.67735141287197e+00	2.48107108360056e-01,-1.80917831837493e-03
4.78630092322637e+00	2.48106486656400e-01,-1.85131485596635e-03
4.89778819368445e+00	2.48105835656092e-01,-1.89443254784914e-03
5.01187233627271e+00	2.48105153978746e-01,-1.93855422431896e-03
5.12861383991364e+00	2.48104440178952e-01,-1.98370324576107e-03
